company,ticker,published_at,period,source_file,slide_section,metric,value,unit,dimension,dimension_name,time_scope,quote
Home Depot,HD,2016-05-19,FY 2015,slides/2016-05-19__hd-us-20160519-slide__437781.md,,annual_shareholder_meeting,2016,,strategy,ANNUAL SHAREHOLDER MEETING,current,"logo, large white text reads ""2016 ANNUAL SHAREHOLDER MEETING"". On the right side of the slide, a lar"
Home Depot,HD,2017-05-18,FY 2016,slides/2017-05-18__hd-us-20170518-slide__437779.md,,annual_shareholder_meeting_welcome,2017,,strategy,ANNUAL SHAREHOLDER MEETING WELCOME,current,on is bold and modern.* ### # 2017 ANNUAL SHAREHOLDER MEETING WELCOME *Image: The image is a square logo for T
Home Depot,HD,2017-05-18,FY 2016,slides/2017-05-18__hd-us-20170518-slide__437779.md,,annual_shareholder_meeting,2017,,strategy,ANNUAL SHAREHOLDER MEETING,current,textured light gray.* ### ## 2017 ANNUAL SHAREHOLDER MEETING *Image: The image is a horizontal banner
Home Depot,HD,2022-08-16,Q2 FY 2022,slides/2022-08-16__hd-us-20220816-slide__38059.md,,sales,43.8,b,strategy,SALES,current,FORMANCE Performance Overview SALES $43.8B **COMPS ** *Image: The image is a circu
Home Depot,HD,2023-06-13,FY 2023,slides/2023-06-13__hd-us-20230613-slide__38044.md,,in_sales,1,b,strategy,IN SALES,current,".* ### 11 PRIVATE BRANDS OVER $1B IN SALES *Image: The image displays the word ""EVE"
Home Depot,HD,2024-03-28,FY 2024,slides/2024-03-28__hd-us-20240328-slide__38048.md,,revenue,2023,,strategy,REVENUE,current,"ge, in a bold, black font.* **2023 REVENUE** **~****$10B** **2023 ADJUSTED EBITDA*"
Home Depot,HD,2024-03-28,FY 2024,slides/2024-03-28__hd-us-20240328-slide__38048.md,,adjusted_ebitda,2023,,strategy,ADJUSTED EBITDA,current,023 REVENUE** **~****$10B** **2023 ADJUSTED EBITDA** **~****$1.1B** ### ### **MULTI-FACETE
Home Depot,HD,2025-12-09,FY 2025,slides/2025-12-09__hd-us-20251209-slide__384215.md,,delivered_sales_up,40,%,strategy,DELIVERED SALES UP,current,ectangle with the words &quot;DELIVERED SALES UP ~40%&quot; in black text. The graphic has a
Home Depot,HD,2025-12-09,FY 2025,slides/2025-12-09__hd-us-20251209-slide__384215.md,,total_addressable_market&,1.1,t,strategy,TOTAL ADDRESSABLE MARKET&,current,he Home Depot. The text &quot;~$1.1T TOTAL ADDRESSABLE MARKET&quot; is centered within the donut hole.
Home Depot,HD,2025-12-09,FY 2025,slides/2025-12-09__hd-us-20251209-slide__384215.md,,the_home_depot_total_market_share&,15,%,strategy,THE HOME DEPOT TOTAL MARKET SHARE&,current,ange section is labeled &quot;~15% THE HOME DEPOT TOTAL MARKET SHARE&quot;. The background of the image is li
Home Depot,HD,2025-12-09,FY 2025,slides/2025-12-09__hd-us-20251209-slide__384215.md,,annual_online_sales&,25,b,strategy,ANNUAL ONLINE SALES&,current,"a text overlay stating &quot;~$25B ANNUAL ONLINE SALES&quot; in a large, bold font. The text is"
